,clean_word,count
0,imitation,1
1,solaced,1
2,premeditated,1
3,elevate,1
4,destitute,1
5,lieutenant,1
6,gratification,1
7,pools,1
8,coaxed,1
9,intermarriage,1
10,reanimated,1
11,singling,1
12,unavoidably,1
13,irreligious,1
14,superseded,1
15,concluding,1
16,biting,1
17,tortured,1
18,insipid,1
19,ingratitude,1
20,productive,1
21,quarreled,1
22,oddly,1
23,reverting,1
24,imputing,1
25,noticing,1
26,surveying,1
27,construed,1
28,filled,1
29,irretrievable,1
30,sequel,1
31,scorn,1
32,distributor,1
33,staff,1
34,cook,1
35,arguing,1
36,surrounded,1
37,haunt,1
38,growth,1
39,blamelessness,1
40,sentences,1
41,lies,1
42,travelled,1
43,hating,1
44,admitting,1
45,tires,1
46,eligibility,1
47,dishes,1
48,romantic,1
49,accusation,1
50,overthrow,1
51,diminution,1
52,flaming,1
53,levelled,1
54,incur,1
55,countries,1
56,obsolete,1
57,fairbanks,1
58,jumping,1
59,port,1
60,dozen,1
61,invariable,1
62,awoke,1
63,mischievously,1
64,faculties,1
65,dispirited,1
66,philips,1
67,unlink,1
68,periodic,1
69,netting,1
70,pleasantest,1
71,disbelieving,1
72,subsided,1
73,harmony,1
74,strongest,1
75,propensities,1
76,hence,1
77,outstrip,1
78,frankly,1
79,surmises,1
80,performs,1
81,veneration,1
82,undertaken,1
83,triumphing,1
84,savours,1
85,deportment,1
86,acrimony,1
87,safest,1
88,production,1
89,foxhounds,1
90,piquet,1
91,rashness,1
92,sofas,1
93,transferred,1
94,imply,1
95,chamberlayne,1
96,disclosure,1
97,repined,1
98,bewildered,1
99,inconceivable,1
100,vacancy,1
101,irrevocably,1
102,mien,1
103,slept,1
104,eminent,1
105,grouped,1
106,verily,1
107,invent,1
108,motion,1
109,inexhaustible,1
110,insignificant,1
111,counterpart,1
112,local,1
113,perturbed,1
114,soldiers,1
115,scale,1
116,repugnant,1
117,nectarines,1
118,pronouncing,1
119,speediest,1
120,expend,1
121,financial,1
122,apt,1
123,october,1
124,conscientious,1
125,forgave,1
126,possessing,1
127,professing,1
128,disappointments,1
129,appeased,1
130,unusual,1
131,morality,1
132,nominally,1
133,childhood,1
134,parental,1
135,tend,1
136,hasten,1
137,rapturously,1
138,utf,1
139,assent,1
140,precision,1
141,negatived,1
142,unstudied,1
143,inmates,1
144,derives,1
145,boisterously,1
146,instructed,1
147,superlatively,1
148,extorted,1
149,disinclined,1
150,presumed,1
151,termed,1
152,congratulatory,1
153,practically,1
154,meanness,1
155,overtures,1
156,obsequiousness,1
157,firmness,1
158,billiard,1
159,giddiness,1
160,encamped,1
161,tastes,1
162,dove,1
163,borrowed,1
164,aspire,1
165,sarcastic,1
166,dispositions,1
167,vogue,1
168,unrestrained,1
169,comfortless,1
170,stubbornness,1
171,subsequent,1
172,alighted,1
173,losing,1
174,brightening,1
175,eastbourne,1
176,resentments,1
177,upbraiding,1
178,interfering,1
179,unfrequently,1
180,sheets,1
181,lobby,1
182,sarah,1
183,consequent,1
184,cherish,1
185,healthy,1
186,eclat,1
187,declares,1
188,venting,1
189,balm,1
190,agent,1
191,starting,1
192,gracefully,1
193,ridiculing,1
194,inherit,1
195,fervent,1
196,drinking,1
197,chin,1
198,sea,1
199,enjoyments,1
200,muslins,1
201,originate,1
202,overflows,1
203,modified,1
204,commerce,1
205,hinted,1
206,indulgent,1
207,interpose,1
208,turnpike,1
209,pictures,1
210,discontinuance,1
211,contradicted,1
212,gradual,1
213,revenue,1
214,instituted,1
215,recommenced,1
216,curtseyed,1
217,safety,1
218,impassable,1
219,mix,1
220,intruder,1
221,avenue,1
222,beneficial,1
223,shoes,1
224,luncheon,1
225,drawings,1
226,fortitude,1
227,palliation,1
228,fat,1
229,endeared,1
230,dislikes,1
231,misleads,1
232,insists,1
233,deduced,1
234,discernible,1
235,guardians,1
236,mingled,1
237,magnitude,1
238,depravity,1
239,resigning,1
240,firmly,1
241,crammed,1
242,disheartened,1
243,graceful,1
244,puzzled,1
245,insulted,1
246,assistant,1
247,mince,1
248,carved,1
249,colder,1
250,larder,1
251,unbecoming,1
252,dishonourable,1
253,persuasions,1
254,contrariwise,1
255,yawned,1
256,process,1
257,recommendations,1
258,stirs,1
259,stepping,1
260,unfold,1
261,unpleasantly,1
